description,signal_type,total_signals,signals_analyzed,bounce_rate,failures,failure_rate,avg_mfe,avg_mae,median_mfe,median_mae,mfe_mae_ratio,reached_12bp,reached_25bp,reached_50bp,period_name,filter,ma_period
RSI Alone,oversold,1122,1121.0,99.28635147190009,8.0,0.7136485280999109,99.20453289237842,122.03753655596186,62.16636866343848,65.2067381767725,0.8129017980208648,90.72256913470116,80.0178412132025,58.96520963425513,in_sample,none,0
RSI + SMA(20) WITH trend,oversold,0,,,,,,,,,,,,,in_sample,with_trend,20
RSI + SMA(20) AGAINST trend,oversold,1122,1121.0,99.28635147190009,8.0,0.7136485280999109,99.20453289237842,122.03753655596186,62.16636866343848,65.2067381767725,0.8129017980208648,90.72256913470116,80.0178412132025,58.96520963425513,in_sample,against_trend,20
RSI + SMA(50) WITH trend,oversold,22,22.0,95.45454545454545,1.0,4.545454545454546,76.1129109967351,52.28939060257982,35.49017169213931,36.56802950804981,1.4556090656176033,81.81818181818183,77.27272727272727,40.909090909090914,in_sample,with_trend,50
RSI + SMA(50) AGAINST trend,oversold,1100,1099.0,99.36305732484077,7.0,0.6369426751592357,99.66678555998911,123.43376877704867,62.54976959633034,66.43338480358797,0.807451530869251,90.90081892629664,80.07279344858964,59.32666060054596,in_sample,against_trend,50
RSI + SMA(100) WITH trend,oversold,91,91.0,100.0,0.0,0.0,84.07194802158536,75.42988869525121,46.66483667307214,46.062735294787196,1.1145707553838433,91.20879120879121,78.02197802197803,45.05494505494506,in_sample,with_trend,100
RSI + SMA(100) AGAINST trend,oversold,1031,1030.0,99.22330097087378,8.0,0.7766990291262136,100.54148941979801,126.15529961938387,63.221087616386185,67.14331091227581,0.7969660388674605,90.67961165048544,80.19417475728156,60.19417475728155,in_sample,against_trend,100
RSI Alone,overbought,1326,1326.0,98.79336349924586,16.0,1.206636500754148,83.35802620042831,97.57310500028558,56.19044103011902,60.23536088337497,0.8543135549512783,89.66817496229261,77.526395173454,54.52488687782805,in_sample,none,0
RSI + SMA(20) WITH trend,overbought,0,,,,,,,,,,,,,in_sample,with_trend,20
RSI + SMA(50) WITH trend,overbought,44,44.0,100.0,0.0,0.0,77.18970283159139,54.07259741965509,50.00867330382806,29.58124954638001,1.4275197884896382,90.9090909090909,75.0,50.0,in_sample,with_trend,50
RSI + SMA(100) WITH trend,overbought,138,138.0,100.0,0.0,0.0,69.82089255262564,68.70051753427376,45.22481491863237,40.96868310584073,1.0163081015771525,89.85507246376811,73.91304347826086,46.3768115942029,in_sample,with_trend,100
RSI Alone,oversold,596,596.0,99.66442953020133,2.0,0.33557046979865773,72.80935690057932,73.93033517711373,50.15015192547649,45.77582517700904,0.984837370561774,88.25503355704699,73.99328859060402,50.0,out_of_sample,none,0
RSI + SMA(20) WITH trend,oversold,0,,,,,,,,,,,,,out_of_sample,with_trend,20
RSI + SMA(20) AGAINST trend,oversold,596,596.0,99.66442953020133,2.0,0.33557046979865773,72.80935690057932,73.93033517711373,50.15015192547649,45.77582517700904,0.984837370561774,88.25503355704699,73.99328859060402,50.0,out_of_sample,against_trend,20
RSI + SMA(50) WITH trend,oversold,21,21.0,100.0,0.0,0.0,53.72808674813274,60.51209855503176,47.940999508970926,49.32557626133894,0.887889992763523,85.71428571428571,71.42857142857143,47.61904761904761,out_of_sample,with_trend,50
RSI + SMA(50) AGAINST trend,oversold,575,575.0,99.65217391304347,2.0,0.34782608695652173,73.50623807136432,74.42039251461587,50.59261927991631,45.741502048584806,0.98771634477644,88.34782608695653,74.08695652173914,50.08695652173913,out_of_sample,against_trend,50
RSI + SMA(100) WITH trend,oversold,63,63.0,100.0,0.0,0.0,52.270764730408175,58.0646853262336,40.30154513195863,35.80230936859269,0.9002161027262515,85.71428571428571,65.07936507936508,36.507936507936506,out_of_sample,with_trend,100
RSI + SMA(100) AGAINST trend,oversold,533,533.0,99.62476547842401,2.0,0.37523452157598497,75.23699537472714,75.80563712946919,52.10813061457019,48.528242838372286,0.9924986877457298,88.55534709193246,75.046904315197,51.594746716697934,out_of_sample,against_trend,100
RSI Alone,overbought,664,664.0,98.3433734939759,11.0,1.6566265060240966,71.65671495567544,63.681144807231234,47.713498300185606,38.92641193510519,1.1252422545572476,85.54216867469879,71.53614457831326,47.74096385542169,out_of_sample,none,0
RSI + SMA(20) WITH trend,overbought,0,,,,,,,,,,,,,out_of_sample,with_trend,20
RSI + SMA(50) WITH trend,overbought,25,25.0,100.0,0.0,0.0,95.36307569495311,62.666915823311754,51.25277542623632,23.796169291654007,1.5217451575856644,96.0,84.0,52.0,out_of_sample,with_trend,50
RSI + SMA(100) WITH trend,overbought,80,80.0,100.0,0.0,0.0,77.47958139476088,52.537818658864055,48.53629011767306,24.78340711741458,1.4747392140097677,88.75,78.75,47.5,out_of_sample,with_trend,100
