,rsi,rsi7,rsi21,roc5,roc10,roc20,momentum5,momentum10,ema9_dist_pct,ema20_dist_pct,ema50_dist_pct,ema100_dist_pct,ema200_dist_pct,sma200_dist_pct,ema20_slope,ema50_slope,ema200_slope,bb_position,range_position
rsi,1.0,0.9330683592181487,0.9767375422124733,0.6698493870913069,0.7190671595660285,0.6408451921860374,0.6150719284291728,0.6548141129005646,0.7764874498869704,0.7939322889959476,0.6731470527989328,0.5342373048981695,0.4025624664152116,0.3596499301266524,0.6566838003690444,0.5308069137931191,0.30953636685873825,0.9354447916813116,0.28623876209974874
rsi7,0.9330683592181487,1.0,0.8453118132678923,0.6787679056367486,0.6106376166234153,0.4525671117504875,0.6262269231595481,0.5585029887809592,0.7532708300598783,0.6747791088130665,0.5062628053543837,0.38015228567503656,0.27927797611444655,0.245275760948139,0.4476250393908635,0.31709317552842164,0.17075124316997087,0.8745927796359713,0.4151548399086538
rsi21,0.9767375422124733,0.8453118132678923,1.0,0.6258081483466382,0.7235811968312607,0.7194049902985818,0.5725338945641626,0.656672922194647,0.747323692786901,0.8231488581907097,0.7598784696831835,0.6317726910815953,0.4890669530286602,0.44386964866536355,0.7372530048509144,0.6508155925174945,0.4089423533904961,0.9214460183864165,0.22434413675357848
roc5,0.6698493870913069,0.6787679056367486,0.6258081483466382,1.0,0.6894635346269297,0.48290909017288286,0.8754082285727761,0.6084541841149038,0.8937928853499323,0.7807756634428107,0.5657032232385708,0.4171809012915198,0.3000136796324987,0.26295777573742923,0.5279820478407729,0.34935607751654524,0.17734449167147495,0.6166557404591586,0.18861595936051098
roc10,0.7190671595660285,0.6106376166234153,0.7235811968312607,0.6894635346269297,1.0,0.6956749507422513,0.6157500258267553,0.8822105777177108,0.8339514528290238,0.8857951636095469,0.7297517163924249,0.5650031565726396,0.416974673926466,0.3700677122242073,0.8248651194195447,0.6188490523384876,0.3365785902017459,0.6262132007532583,0.12213839253660347
roc20,0.6408451921860374,0.4525671117504875,0.7194049902985818,0.48290909017288286,0.6956749507422513,1.0,0.43045699032307655,0.6152603369328419,0.6500412859419821,0.854789759734066,0.8629732873552872,0.7285038075270374,0.5635459078336749,0.5114122724688093,0.8909106164904717,0.8276586093782388,0.5145277593836297,0.572046615656996,0.08048814612320532
momentum5,0.6150719284291728,0.6262269231595481,0.5725338945641626,0.8754082285727761,0.6157500258267553,0.43045699032307655,1.0,0.6986363530303884,0.787728120528092,0.6921375674834164,0.5053441713685898,0.37392377179170244,0.269181582293591,0.23597784048174122,0.47221469503444885,0.3153455682023954,0.16020118886696239,0.5665522676382992,0.17800235611769089
momentum10,0.6548141129005646,0.5585029887809592,0.656672922194647,0.6084541841149038,0.8822105777177108,0.6152603369328419,0.6986363530303884,1.0,0.7358549982844352,0.7834970400110688,0.6485923093443511,0.5029480809150789,0.37099863936077343,0.3292175751474232,0.7304190652985306,0.5508510195942421,0.29937089491895363,0.5703986151471071,0.1136339869015656
ema9_dist_pct,0.7764874498869704,0.7532708300598783,0.747323692786901,0.8937928853499323,0.8339514528290238,0.6500412859419821,0.787728120528092,0.7358549982844352,1.0,0.9248244460263589,0.7170761036405969,0.5472639453307169,0.40226508607149447,0.35603039005658677,0.6547750956525052,0.4849193067966898,0.2671896337522561,0.7126843347709568,0.2763277964289805
ema20_dist_pct,0.7939322889959476,0.6747791088130665,0.8231488581907097,0.7807756634428107,0.8857951636095469,0.854789759734066,0.6921375674834164,0.7834970400110688,0.9248244460263589,1.0,0.9024944258967141,0.7427169148147075,0.5711168466631771,0.5168139279071622,0.882632490112835,0.7613230260247097,0.4717705770788011,0.7244984479772286,0.18198467933094142
ema50_dist_pct,0.6731470527989328,0.5062628053543837,0.7598784696831835,0.5657032232385708,0.7297517163924249,0.8629732873552872,0.5053441713685898,0.6485923093443511,0.7170761036405969,0.9024944258967141,1.0,0.9420176522605773,0.7975260627426017,0.7552029719052125,0.8965131890301313,0.949880773905539,0.7407564023873674,0.6430158527283549,0.11425775200016007
ema100_dist_pct,0.5342373048981695,0.38015228567503656,0.6317726910815953,0.4171809012915198,0.5650031565726396,0.7285038075270374,0.37392377179170244,0.5029480809150789,0.5472639453307169,0.7427169148147075,0.9420176522605773,1.0,0.9419885050917882,0.923212579134757,0.7683982832061637,0.9322815079967075,0.9111900540615642,0.5295316932728583,0.08807485446850971
ema200_dist_pct,0.4025624664152116,0.27927797611444655,0.4890669530286602,0.3000136796324987,0.416974673926466,0.5635459078336749,0.269181582293591,0.37099863936077343,0.40226508607149447,0.5711168466631771,0.7975260627426017,0.9419885050917882,1.0,0.9823744350966994,0.6029586247231721,0.8057815312596389,0.9873992794690448,0.4078082142626881,0.07450434477985701
sma200_dist_pct,0.3596499301266524,0.245275760948139,0.44386964866536355,0.26295777573742923,0.3700677122242073,0.5114122724688093,0.23597784048174122,0.3292175751474232,0.35603039005658677,0.5168139279071622,0.7552029719052125,0.923212579134757,0.9823744350966994,1.0,0.5508338669899063,0.7697088858569002,0.9745551349054491,0.36965901546483637,0.0660744118639084
ema20_slope,0.6566838003690444,0.4476250393908635,0.7372530048509144,0.5279820478407729,0.8248651194195447,0.8909106164904717,0.47221469503444885,0.7304190652985306,0.6547750956525052,0.882632490112835,0.8965131890301313,0.7683982832061637,0.6029586247231721,0.5508338669899063,1.0,0.903054796734829,0.5720717835056325,0.57768982901417,0.0009362038325166701
ema50_slope,0.5308069137931191,0.31709317552842164,0.6508155925174945,0.34935607751654524,0.6188490523384876,0.8276586093782388,0.3153455682023954,0.5508510195942421,0.4849193067966898,0.7613230260247097,0.949880773905539,0.9322815079967075,0.8057815312596389,0.7697088858569002,0.903054796734829,1.0,0.7978170336665519,0.505178121871524,-0.0012242147510666665
ema200_slope,0.30953636685873825,0.17075124316997087,0.4089423533904961,0.17734449167147495,0.3365785902017459,0.5145277593836297,0.16020118886696239,0.29937089491895363,0.2671896337522561,0.4717705770788011,0.7407564023873674,0.9111900540615642,0.9873992794690448,0.9745551349054491,0.5720717835056325,0.7978170336665519,1.0,0.31883397649754436,0.017583014141680193
