config,gate,signal,dataset,trades,long,short,win_pct,total_bps,pf,long_bps,short_bps,avg_bps,max_dd
NO_GATE__RSI7_20_80,NO_GATE,RSI7_20_80,TRAIN,9330,4675,4655,62.01500535905681,117943.91761704221,1.6890095118371218,70383.25555424934,47560.662062792886,12.641363088643324,-4759.496433862054
NO_GATE__RSI7_25_75,NO_GATE,RSI7_25_75,TRAIN,13199,6592,6607,60.73944995833017,165887.51831789114,1.7311384164745904,95633.64918801206,70253.8691298791,12.568188371686578,-4594.366912915462
NO_GATE__RSI7_30_70,NO_GATE,RSI7_30_70,TRAIN,16651,8323,8328,60.30869016875864,206757.97842289027,1.7495541461987285,114546.16759831275,92211.81082457751,12.417150827150937,-4704.17953963292
NO_GATE__RSI7_35_65,NO_GATE,RSI7_35_65,TRAIN,19419,9673,9746,59.637468458726,231610.24584567075,1.7207553325695428,126741.47671070043,104868.76913497032,11.926991392227754,-4326.667807056941
NO_GATE__EMA9D_-0.3_0.3,NO_GATE,EMA9D_-0.3_0.3,TRAIN,13266,6618,6648,63.59113523292628,208827.4176499289,1.808945131874427,119992.16347051547,88835.2541794134,15.741551157087962,-3822.894283111211
NO_GATE__EMA9D_-0.2_0.2,NO_GATE,EMA9D_-0.2_0.2,TRAIN,17078,8429,8649,61.69340672209861,236803.1970662187,1.7718549084985686,132645.1248378816,104158.07222833714,13.865979451119493,-3610.253721248827
NO_GATE__EMA9D_-0.5_0.5,NO_GATE,EMA9D_-0.5_0.5,TRAIN,7954,4039,3915,67.06059844103595,158676.610567684,1.8983808013849175,99388.31838715043,59288.292180533565,19.94928470803168,-4359.1828569689005
NO_GATE__ROC5_-0.3_0.3,NO_GATE,ROC5_-0.3_0.3,TRAIN,18076,8845,9231,60.64947997344545,232393.97946514247,1.7147212684597664,122955.89722983369,109438.0822353088,12.856493663705603,-1993.4981606257525
NO_GATE__ROC5_-0.5_0.5,NO_GATE,ROC5_-0.5_0.5,TRAIN,13537,6686,6851,63.042032946738566,209340.948067787,1.8051415260019312,115679.53901623715,93661.40905154982,15.464353111308782,-1996.3923129349914
NO_GATE__RPOS_0.2_0.8,NO_GATE,RPOS_0.2_0.8,TRAIN,19367,9095,10272,56.96803841586203,231444.16234422062,1.7269500787332681,118045.79369069864,113398.36865352196,11.950439528281128,-3445.8614342273913
NO_GATE__RPOS_0.3_0.7,NO_GATE,RPOS_0.3_0.7,TRAIN,21852,10501,11351,57.05656232839099,259815.49028293783,1.7097058773843496,132672.57428752712,127142.9159954107,11.889780811044199,-4236.445841302509
ACTIVE_TREND__RSI7_20_80,ACTIVE_TREND,RSI7_20_80,TRAIN,3844,1976,1868,68.34027055150884,90458.63385530659,2.092060273183325,56238.99113432512,34219.64272098147,23.532422959236886,-4759.496433862054
ACTIVE_TREND__RSI7_25_75,ACTIVE_TREND,RSI7_25_75,TRAIN,5485,2785,2700,67.89425706472197,124623.32582463438,2.1325651465718063,74838.55293245419,49784.77289218018,22.720752201391864,-4264.8801433413555
ACTIVE_TREND__RSI7_30_70,ACTIVE_TREND,RSI7_30_70,TRAIN,6888,3446,3442,66.57955865272939,147546.2060318645,2.075165910970772,84028.61157147714,63517.59446038737,21.42076161902795,-4704.17953963292
ACTIVE_TREND__RSI7_35_65,ACTIVE_TREND,RSI7_35_65,TRAIN,8155,4049,4106,65.67749846719803,169502.99448441184,2.0629847527362157,94878.97757722414,74624.0169071877,20.785161800663623,-4326.667807056942
