feature,quartile,n_trades,win_rate,avg_pnl,median_pnl,total_bps,long_avg,short_avg
atr21_pct,Q4,2000,92.4,57.517515971866246,40.69611337264963,115035.0319437325,12.650327413611917,10.202904034450166
atr21_pct,Q1,1999,85.79289644822411,21.855233966260627,14.478178888704665,43688.61269855499,-0.3446996524441772,0.7106923855549919
atr7_pct,Q4,2000,92.75,58.256576041644415,40.86053754489974,116513.15208328883,14.271026411647167,7.9650689541475055
atr7_pct,Q1,1999,82.4912456228114,19.83090749000367,12.974867901705608,39641.98407251734,-2.1388410165263916,0.7876211624532107
atr_pct,Q4,2000,93.30000000000001,55.516174615551215,39.34029495871431,111032.34923110243,11.71809090361162,11.192546815334945
atr_pct,Q1,1999,84.39219609804903,21.21660477679143,13.416442327604052,42411.99294880607,0.4731762367324792,-1.0439514335716378
atr_percentile,Q4,2000,90.3,52.226383536779274,33.94456600078838,104452.76707355854,8.768168082616842,7.958686844499991
atr_percentile,Q1,2000,83.85000000000001,24.456663634559963,15.396796156841921,48913.32726911992,1.2456713230842473,1.0925168037250081
bar_range_avg_10,Q4,2000,93.35,58.659730421092696,41.40000204585865,117319.46084218539,11.989224244893295,10.119526441529663
bar_range_avg_10,Q1,1999,84.54227113556779,20.380965475702958,13.307230205464812,40741.549985930214,-0.8406816113583241,0.2273559795267963
bb_width,Q4,2000,91.4,54.37357040244622,38.447114455717745,108747.14080489243,11.36530174304579,9.02940408524266
bb_width,Q1,2000,83.15,22.913911810388782,14.559725286513054,45827.82362077756,0.8339496973496352,0.050883971286169866
body_bps,Q4,2000,90.95,50.59412289788825,34.189538927504756,101188.2457957765,8.247466804365695,8.775782959394798
body_bps,Q1,2000,86.15,29.752204088945717,19.951145768131322,59504.40817789143,3.436713076342137,2.061297031294748
day_of_week,Q4,2000,85.75,27.03013297696817,17.732368714259295,54060.26595393634,0.5727835112086654,3.1707563388355755
day_of_week,Q1,1999,89.94497248624313,44.293109779035966,29.745919534255002,88541.9264482929,6.280835142137703,7.049420152465216
donchian_width,Q4,2000,90.60000000000001,53.58504422544712,36.84175749695494,107170.08845089424,12.002474844829685,8.33108114654347
donchian_width,Q1,2000,85.8,25.5242521751241,16.319850503103094,51048.5043502482,0.14983846018378358,1.1731959845067812
ema_separation,Q4,2000,91.55,47.499056934811655,31.528010573572512,94998.11386962331,9.793124868499067,7.059061561013826
ema_separation,Q1,1998,87.28728728728728,31.51505884745377,20.179896129102836,62967.08757721263,1.0652820403594199,4.329227971211511
hour_utc,Q4,2000,87.0,38.52452905879305,24.925851176132582,77049.0581175861,4.625027851634992,5.463722087170585
hour_utc,Q1,2000,87.8,33.48301271167901,21.40067539754461,66966.02542335802,1.3517454417990618,3.1531920231803383
keltner_width,Q4,2000,93.8,58.842478585507976,40.139080519234035,117684.95717101595,10.642550652145909,12.06699355982945
keltner_width,Q1,1999,84.44222111055528,20.303850397094287,13.371723697740425,40587.39694379148,-0.905850697103028,-0.06173233098491545
range_bps,Q4,2000,92.9,56.631618311871804,39.284524474874715,113263.2366237436,13.280907293806987,9.78422042059408
range_bps,Q1,2000,83.8,21.625734443007662,14.263652372873947,43251.468886015326,-0.2213920130250003,0.04140969809279945
recent_volatility,Q4,2000,93.25,59.16802709257543,43.01263754839495,118336.05418515086,11.24260385248651,13.553011269773018
recent_volatility,Q1,1998,85.78578578578579,21.40331305935599,13.93537922779626,42763.81949259327,0.10281727519422929,-0.46013838703980997
std20,Q4,2000,91.4,56.0847287928411,38.36848799340956,112169.45758568219,12.999021810652645,9.16034608364462
std20,Q1,2000,85.55,21.73847038020789,13.909947664724184,43476.94076041578,0.23448576251295483,0.09749099374230372
