feature,quartile,n_trades,win_rate,avg_pnl,median_pnl,total_bps,long_avg,short_avg
atr21_pct,Q4,2000,96.89999999999999,86.14323735577872,55.20463103759778,172286.47471155744,20.99065665500139,29.817826455933734
atr21_pct,Q1,2000,83.89999999999999,24.696857518011335,14.211843269681182,49393.715036022666,1.631176920521692,2.1090118244170357
atr7_pct,Q4,2000,97.0,79.55570039839836,56.603495706645795,159111.40079679672,21.54524871643822,21.41329014230565
atr7_pct,Q1,2000,84.89999999999999,24.902712023543646,14.534867047277467,49805.42404708729,2.0285948896259156,2.1048161978579016
atr_pct,Q4,2000,97.25,83.59645775486239,57.96324557550744,167192.91550972476,28.806278289430022,21.943881854379597
atr_pct,Q1,2000,82.19999999999999,22.164596167617535,13.48407794942413,44329.19233523507,0.8849602691654299,1.0651890935748187
atr_percentile,Q4,2000,92.35,64.23005192810446,39.497319545894115,128460.10385620892,12.245479302007936,15.925805445789932
atr_percentile,Q1,2000,87.8,38.105994315537075,22.546212430008126,76211.98863107414,5.877572177899675,6.8053954421134675
bar_range_avg_10,Q4,2000,96.7,87.20476251660014,57.893189846256824,174409.52503320028,24.329633338212396,21.441836322136133
bar_range_avg_10,Q1,2000,82.95,24.167335557692727,13.078141283547112,48334.671115385456,0.7326390962954902,1.2873566482924768
bb_width,Q4,2000,95.0,77.25201102233711,53.353800609262265,154504.02204467423,19.85651616542205,21.268439214872142
bb_width,Q1,2000,84.3,24.851280808362027,14.645828172849543,49702.56161672405,0.5479665150223544,1.074281395823024
body_bps,Q4,2000,95.05,73.10719310635083,47.73774925596538,146214.38621270168,14.35541633112451,20.023109539395612
body_bps,Q1,2000,85.15,32.08407577514061,18.111514072218785,64168.15155028122,3.729072811348368,3.9413413680921994
day_of_week,Q4,2000,86.85000000000001,37.66326963661284,22.48612522993242,75326.53927322567,4.818851526852268,8.750556099064989
day_of_week,Q1,2000,90.14999999999999,50.2912752558092,30.689620779516,100582.55051161839,12.025245742738013,9.260597804951827
donchian_width,Q4,2000,94.75,77.41365195426366,51.64240586805018,154827.3039085273,22.046250761579156,21.90253251468877
donchian_width,Q1,1999,83.84192096048024,25.931108180160003,15.094874490849215,51836.285252139845,1.2254109871552044,1.7257333176660157
ema_separation,Q4,2000,93.15,67.83248164029838,45.496294890134095,135664.96328059677,17.74174021764418,20.918823421507884
ema_separation,Q1,2000,85.05,33.077859142673574,19.474573817404554,66155.71828534715,5.724796648182207,1.3736194671933513
hour_utc,Q4,2000,90.5,48.943870296991776,30.03842387113682,97887.74059398354,10.280146759410181,9.296070058686663
hour_utc,Q1,2000,88.64999999999999,40.54896005669715,24.238228851503315,81097.9201133943,8.508110922573557,-0.4158227479170382
keltner_width,Q4,2000,96.1,81.44116698756383,57.13494706045425,162882.33397512767,24.443493257716224,19.255415887916133
keltner_width,Q1,2000,84.65,24.90440551451996,14.5073394217694,49808.81102903992,2.0001210672046392,2.921764607698207
range_bps,Q4,2000,96.35000000000001,78.18032509606299,53.68552663527354,156360.65019212596,17.33656001661519,18.413904785498293
range_bps,Q1,2000,84.45,25.5963665333003,14.394552998577474,51192.7330666006,2.57816041170253,1.3416172639445427
recent_volatility,Q4,2000,95.6,77.96289639237095,51.93130755552854,155925.7927847419,18.929872456882656,18.531085402212483
recent_volatility,Q1,2000,83.2,25.201515879463965,14.171904702167206,50403.03175892793,1.2517786184556718,2.1887456131139915
std20,Q4,2000,96.25,76.74474203042872,57.88929568042458,153489.48406085745,19.973610506138446,18.246641426441148
std20,Q1,2000,83.7,24.278033596448857,13.177696969823453,48556.06719289772,0.9207255526706534,1.2817747406132272
