horizon,norm_window,min_expectancy,max_distance,k,min_mfe,max_bars_in_trade,sample_interval,blocked_regimes,total_pnl,total_pnl_pct,win_rate,total_trades,profit_factor,max_drawdown_pct,sharpe,expectancy
3,300,0.0,2.0,100,0.002,0,5,NONE,0,0,0,0,0,0,0,0
3,300,0.0,2.0,100,0.002,0,3,NONE,0,0,0,0,0,0,0,0
3,300,0.0,2.0,100,0.0025,0,5,NONE,0,0,0,0,0,0,0,0
3,300,0.0,2.0,100,0.0025,0,3,NONE,0,0,0,0,0,0,0,0
3,300,0.0,2.0,100,0.003,0,5,NONE,0,0,0,0,0,0,0,0
3,300,0.0,2.0,100,0.003,0,3,NONE,0,0,0,0,0,0,0,0
3,300,0.0,2.0,100,0.004,0,5,NONE,0,0,0,0,0,0,0,0
3,300,0.0,2.0,100,0.004,0,3,NONE,0,0,0,0,0,0,0,0
3,300,0.0,2.0,150,0.002,0,5,NONE,0,0,0,0,0,0,0,0
3,300,0.0,2.0,150,0.002,0,3,NONE,0,0,0,0,0,0,0,0
3,300,0.0,2.0,150,0.0025,0,5,NONE,0,0,0,0,0,0,0,0
3,300,0.0,2.0,150,0.0025,0,3,NONE,0,0,0,0,0,0,0,0
3,300,0.0,2.0,150,0.003,0,5,NONE,0,0,0,0,0,0,0,0
3,300,0.0,2.0,150,0.003,0,3,NONE,0,0,0,0,0,0,0,0
3,300,0.0,2.0,150,0.004,0,5,NONE,0,0,0,0,0,0,0,0
3,300,0.0,2.0,150,0.004,0,3,NONE,0,0,0,0,0,0,0,0
3,300,0.0,2.0,200,0.002,0,5,NONE,0,0,0,0,0,0,0,0
3,300,0.0,2.0,200,0.002,0,3,NONE,0,0,0,0,0,0,0,0
3,300,0.0,2.0,200,0.0025,0,3,NONE,0,0,0,0,0,0,0,0
3,300,0.0,2.0,200,0.0025,0,5,NONE,0,0,0,0,0,0,0,0
3,300,0.0,2.0,200,0.003,0,5,NONE,0,0,0,0,0,0,0,0
3,300,0.0,2.0,200,0.003,0,3,NONE,0,0,0,0,0,0,0,0
3,300,0.0,2.0,200,0.004,0,5,NONE,0,0,0,0,0,0,0,0
3,300,0.0,2.0,200,0.004,0,3,NONE,0,0,0,0,0,0,0,0
3,300,0.0,3.0,100,0.002,0,3,NONE,0,0,0,0,0,0,0,0
