horizon,norm_window,min_expectancy,max_distance,k,blocked_regimes,total_pnl,total_pnl_pct,win_rate,total_trades,profit_factor,max_drawdown_pct,sharpe,expectancy
1,300,0.0005,2.0,200,"HIGH_VOL,RANGE_LOW_VOL",-0.02581145922516416,-0.02581145922516416,0.0,5,0.0,0.02581145922515304,-63.02706504499012,-0.005162291845032832
1,300,0.0005,3.0,200,"HIGH_VOL,RANGE_LOW_VOL",-0.036073185833152145,-0.036073185833152145,0.0,7,0.0,0.036073185833132015,-57.62371702585394,-0.005153312261878878
1,300,0.0005,2.0,200,HIGH_VOL,-0.03615158924252407,-0.03615158924252407,0.0,7,0.0,0.0361515892425075,-64.89111942873866,-0.00516451274893201
1,300,0.0005,3.0,200,HIGH_VOL,-0.05136906401969296,-0.051369064019692955,0.0,10,0.0,0.05136906401966712,-49.74504227210386,-0.0051369064019692965
1,300,0.0005,2.0,150,"HIGH_VOL,RANGE_LOW_VOL",-0.060854110120878505,-0.060854110120878505,0.0,12,0.0,0.0608541101208715,-35.9305982228474,-0.0050711758434065415
1,300,0.0005,2.0,150,HIGH_VOL,-0.07184210011896652,-0.07184210011896652,0.0,14,0.0,0.07184210011894265,-53.3692241432852,-0.00513157857992618
1,300,0.0005,3.0,150,"HIGH_VOL,RANGE_LOW_VOL",-0.0808896300474189,-0.0808896300474189,0.0,16,0.0,0.0808896300474089,-27.881177449893155,-0.0050556018779636825
1,300,0.0005,3.0,150,HIGH_VOL,-0.08202945152784513,-0.08202945152784513,0.0,16,0.0,0.08202945152781638,-54.703649354353516,-0.005126840720490321
1,300,0.0005,2.0,200,NONE,-0.22873235411498613,-0.22873235411498613,0.0,45,0.0,0.22873235411498172,-28.85322936061761,-0.005082941202555246
1,300,0.0005,2.0,150,NONE,-0.2920621721996926,-0.2920621721996926,0.0,58,0.0,0.2920621721996639,-25.30474684282986,-0.0050355546930981486
1,300,0.0005,3.0,150,NONE,-0.510921178046768,-0.510921178046768,0.0,103,0.0,0.5109211780467575,-18.126890287868754,-0.004960399786861827
1,300,0.0005,3.0,200,NONE,-0.5693277883103112,-0.5693277883103112,0.0,95,0.0,0.5693277883103178,-0.6101302628931361,-0.005992924087476962
1,300,0.0002,2.0,200,HIGH_VOL,-1.4667838905314983,-1.4667838905314983,0.0,219,0.0,1.4667838905314596,-0.5359788009177564,-0.006697643335760267
1,300,0.0002,3.0,200,HIGH_VOL,-1.5312209789790645,-1.5312209789790645,0.0,230,0.0,1.5312209789790217,-0.545979191760384,-0.006657482517300282
1,300,0.0002,2.0,200,"HIGH_VOL,RANGE_LOW_VOL",-1.543841945495525,-1.543841945495525,0.0,264,0.0,1.5438419454955294,-38.33074233545224,-0.005847886157180019
1,300,0.0002,3.0,200,"HIGH_VOL,RANGE_LOW_VOL",-1.653347321739394,-1.653347321739394,0.0,266,0.0,1.653347321739389,-1.0246645912776637,-0.0062155914351105035
1,300,0.0002,3.0,150,HIGH_VOL,-1.865048845062678,-1.8650488450626783,0.0,303,0.0,1.8650488450626457,-1.0827281744350274,-0.006155276716378472
1,300,0.0002,2.0,150,HIGH_VOL,-1.9508104084029214,-1.9508104084029212,0.0,329,0.0,1.9508104084029014,-3.300428599206091,-0.005929514919157814
1,300,0.0002,2.0,200,NONE,-1.9846683676440964,-1.9846683676440962,0.0,309,0.0,1.9846683676440477,-0.6103998241249896,-0.006422874976194486
2,300,0.0001,2.0,150,HIGH_VOL,-2.010450501868249,-2.010450501868249,0.0,108,0.0,2.010450501868206,-0.12896356487623392,-0.018615282424706003
2,300,0.0001,2.0,200,NONE,-2.0191667777837683,-2.0191667777837683,0.0,119,0.0,2.019166777783795,-0.12365482010235362,-0.016967788048603095
1,300,0.0002,3.0,150,"HIGH_VOL,RANGE_LOW_VOL",-2.0256517965546004,-2.0256517965546004,0.0,331,0.0,2.025651796554726,-1.1249785667242362,-0.006119793947294867
1,300,0.0002,2.0,150,"HIGH_VOL,RANGE_LOW_VOL",-2.044891611208681,-2.044891611208681,0.0,351,0.0,2.044891611208797,-34.78918265933156,-0.0058259020262355615
2,300,0.0001,2.0,150,NONE,-2.0587407784567113,-2.0587407784567113,0.0,130,0.0,2.058740778456624,-0.12033409425780643,-0.01583646752659009
1,300,0.0002,3.0,200,NONE,-2.09204458514176,-2.09204458514176,0.0,329,0.0,2.0920445851417213,-0.62337092691839,-0.006358798131129971
2,300,0.0001,2.0,150,"HIGH_VOL,RANGE_LOW_VOL",-2.3164786836296525,-2.3164786836296525,0.0,173,0.0,2.316478683629711,-0.11830221513985412,-0.013390050194391054
1,300,0.0002,3.0,150,NONE,-2.319467189845791,-2.319467189845791,0.0,386,0.0,2.3194671898457386,-1.1904545405976878,-0.006008982357113446
1,300,0.0001,2.0,200,HIGH_VOL,-2.374808209353741,-2.374808209353741,0.0,354,0.0,2.374808209353887,-0.5681561051442355,-0.006708497766535993
1,300,0.0002,2.0,150,NONE,-2.4229395704854335,-2.4229395704854335,0.0,413,0.0,2.4229395704853403,-3.63278132682828,-0.005866681768729863
1,300,0.0001,3.0,200,HIGH_VOL,-2.465064707185177,-2.465064707185177,0.0,369,0.0,2.4650647071853484,-0.5776274607107104,-0.0066803921603934314
1,300,0.0001,2.0,150,HIGH_VOL,-2.5595902109155757,-2.5595902109155757,0.0,377,0.0,2.5595902109155446,-0.46843151629243623,-0.006789363954683226
1,300,0.0001,3.0,150,HIGH_VOL,-2.6210747781199384,-2.6210747781199384,0.0,387,0.0,2.6210747781198904,-0.47345057824346215,-0.0067728030442375685
1,300,0.0001,3.0,150,"HIGH_VOL,RANGE_LOW_VOL",-2.926590901999802,-2.926590901999802,0.0,448,0.0,2.9265909019999157,-0.6221957538891824,-0.006532568977678129
1,300,0.0001,2.0,150,"HIGH_VOL,RANGE_LOW_VOL",-2.931547738526675,-2.931547738526675,0.0,449,0.0,2.93154773852676,-0.6225444090287552,-0.006529059551284354
1,300,0.0001,2.0,200,NONE,-3.0368085027667973,-3.0368085027667973,0.0,465,0.0,3.036808502766945,-0.6148949349796974,-0.006530770973692038
1,300,0.0001,2.0,200,"HIGH_VOL,RANGE_LOW_VOL",-3.0420954167626735,-3.0420954167626735,0.0,464,0.0,3.042095416762862,-0.6356662550726088,-0.00655624012233335
1,300,0.0001,3.0,200,"HIGH_VOL,RANGE_LOW_VOL",-3.07139598272385,-3.07139598272385,0.0,469,0.0,3.071395982724013,-0.6383468235120832,-0.0065488187264900865
1,300,0.0001,3.0,200,NONE,-3.074943453493339,-3.074943453493339,0.0,473,0.0,3.074943453493475,-0.6171921883504713,-0.006500937533812555
1,300,0.0001,2.0,150,NONE,-3.2295058409891855,-3.229505840989186,0.0,493,0.0,3.2295058409891624,-0.5166699308023233,-0.006550721786996325
1,300,0.0001,3.0,150,NONE,-3.4023985399476855,-3.4023985399476855,0.0,524,0.0,3.4023985399476686,-0.5278711070652499,-0.006493126984632992
